A,B,label
"Darwin's general theory presumes the development of life from nonlife and stresses a purely naturalistic (undirected) ""descent with modification""",The Lion King is an upcoming American musical drama film directed by Jon Favreau and produced by Walt Disney Pictures,0
"Darwin's general theory presumes the development of life from nonlife and stresses a purely naturalistic (undirected) ""descent with modification""","Simba has to make an alliance, and rebuild himself fully to take what is rightfully his.
",0
The Lion King is an upcoming American musical drama film directed by Jon Favreau and produced by Walt Disney Pictures,"In the movie Simba, the son of Mufasa and the Prince of the Pride Lands, hopes to follow in his father's footsteps",1
"In the movie Simba, the son of Mufasa and the Prince of the Pride Lands, hopes to follow in his father's footsteps","Simba has to make an alliance, and rebuild himself fully to take what is rightfully his.
",1
"In the movie Simba, the son of Mufasa and the Prince of the Pride Lands, hopes to follow in his father's footsteps","Simba has to make an alliance, and rebuild himself fully to take what is rightfully his.
",1
"Simba has to make an alliance, and rebuild himself fully to take what is rightfully his.
","In a nutshell, as random genetic mutations occur within an organism's genetic code, the beneficial mutations are preserved because they aid survival, a process known as ""natural selection."" These beneficial mutations are passed on to the next generation",0
The Lion King is an upcoming American musical drama film directed by Jon Favreau and produced by Walt Disney Pictures,"Darwin's Theory of Evolution is the widely held notion that all life is related and has descended from a common ancestor, the birds and the bananas, the fishes and the flowers are all related",0
"Mufasa's brother, Scar, plots to betray Mufasa and take over the Pride Lands, forcing Simba into exile, where he meets Timon and Pumbaa","Darwin's Theory of Evolution is the widely held notion that all life is related and has descended from a common ancestor, the birds and the bananas, the fishes and the flowers are all related",0
"Simba has to make an alliance, and rebuild himself fully to take what is rightfully his.
","The Lion King is scheduled to be released on July 19, 2019, which marks the 25th anniversary of the release of the original film",1
"That is, complex creatures evolve from more simplistic ancestors naturally over time","In the movie Simba, the son of Mufasa and the Prince of the Pride Lands, hopes to follow in his father's footsteps",0
"The Lion King is scheduled to be released on July 19, 2019, which marks the 25th anniversary of the release of the original film","Darwin's general theory presumes the development of life from nonlife and stresses a purely naturalistic (undirected) ""descent with modification""",0
"The Lion King is scheduled to be released on July 19, 2019, which marks the 25th anniversary of the release of the original film","Simba has to make an alliance, and rebuild himself fully to take what is rightfully his.
",1
"Simba has to make an alliance, and rebuild himself fully to take what is rightfully his.
","That is, complex creatures evolve from more simplistic ancestors naturally over time",0
"In a nutshell, as random genetic mutations occur within an organism's genetic code, the beneficial mutations are preserved because they aid survival, a process known as ""natural selection."" These beneficial mutations are passed on to the next generation","The Lion King is scheduled to be released on July 19, 2019, which marks the 25th anniversary of the release of the original film",0
